tmin	text	tmax
4.533922	speech	7.968610
10.560827	speech	14.276339
16.954963	speech	20.800086
23.133081	speech	25.682095
28.107200	speech	29.964956
33.205227	speech	36.726323
40.528241	speech	43.703708
47.334335	speech	50.099367
54.267392	speech	57.810089
61.568804	speech	65.327519
68.511337	speech	72.118839
77.756912	speech	81.429220
85.122007	speech	89.269554
93.568315	speech	96.657374
99.931775	speech	101.854336
105.807467	speech	110.063024
117.398564	speech	122.215768
126.665741	speech	128.199469
132.887062	speech	137.574655
141.783233	speech	145.628355
149.689496	speech	152.627342
156.456499	speech	161.770545
166.069306	speech	171.923396
175.628310	speech	180.056682
184.981895	speech	188.675804
193.810609	speech	197.677333
201.803279	speech	206.642085
210.691493	speech	213.413321
216.934416	speech	220.628326
224.408643	speech	226.093584
230.413946	speech	233.222182
240.001370	speech	244.775370
251.754281	speech	257.413956
264.634663	speech	269.245325
275.855479	speech	280.780692
285.479288	speech	287.574664
291.927624	speech	294.671054
338.139988	speech	341.142640
344.794872	speech	349.223244
353.133172	speech	356.351842
374.231714	speech	377.061552
384.041984	speech	387.692690
392.207469	speech	397.305497
402.090493	speech	405.978819
410.096815	speech	413.121068
417.248536	speech	421.439287
424.887624	speech	428.970366
432.837090	speech	435.969353
439.594681	speech	443.029369
447.155315	speech	451.670094
465.486172	speech	471.145846
475.131582	speech	477.270162
491.007787	speech	494.896113
499.842928	speech	501.657480
505.594710	speech	510.887154
515.336001	speech	518.705883
523.732278	speech	526.238089
531.869738	speech	536.298109
541.072109	speech	543.426707
547.388188	speech	550.002007
554.214360	speech	558.318705
562.393494	speech	564.985711
569.943515	speech	573.486212
577.957787	speech	582.256547
586.902457	speech	590.941995
594.980403	speech	597.594222
601.963470	speech	604.701218
608.343962	speech	611.260207
619.698557	speech	623.176448
629.288636	speech	633.068953
638.296591	speech	641.018420
645.433529	speech	647.442497
654.162189	speech	658.568958
662.955652	speech	666.951987
672.568458	speech	675.635916
679.604225	speech	682.866099
687.121656	speech	689.757077
693.925098	speech	697.424591
708.225497	speech	709.802429
714.011003	speech	715.955166
720.124316	speech	722.608524
726.792856	speech	729.363471
734.763924	speech	737.852983
742.122188	speech	747.738659
751.856645	speech	755.204926
759.179659	speech	762.074302
766.369280	speech	770.538430
775.443564	speech	780.757609
785.207582	speech	788.210234
792.495744	speech	795.174369
798.738668	speech	801.676514
805.359818	speech	810.587456
815.310301	speech	818.140139
823.947237	speech	827.986775
832.393545	speech	836.735509
842.082149	speech	846.834547
852.320283	speech	856.964672
860.809795	speech	862.170709
865.735008	speech	868.435234
871.794514	speech	874.170713
877.410985	speech	880.586451
885.279741	speech	887.137497
892.062710	speech	895.756620
903.632203	speech	907.995769
915.945235	speech	920.740837
928.050601	speech	933.969497
939.455229	speech	942.090650
950.233412	speech	954.618580
959.284571	speech	962.762462
967.998451	speech	971.217120
975.884640	speech	980.745047
985.454242	speech	987.355202
991.964740	speech	995.788261
1001.869374	speech	1005.714497
1011.610663	speech	1015.563795
1024.334130	speech	1029.302547
1034.780334	speech	1038.841474
1043.658678	speech	1046.142886
1059.606519	speech	1062.846790
1071.486392	speech	1075.396320
1079.684483	speech	1084.026447
1089.491705	speech	1092.969597
1098.229841	speech	1101.038076
1108.415297	speech	1112.325224
1119.143071	speech 	1124.960043
1129.582459	speech	1133.399847
1138.090318	speech	1141.699957
1147.947292	speech	1152.413896
1157.759761	speech	1160.824059
1165.005009	speech	1167.861558
1175.469200	speech	1179.494337
1183.078008	speech	1186.713616
1193.611420	speech	1199.116769
1205.141491	speech	1208.543381
1215.596997	speech	1219.907789
1226.773446	speech	1232.382669
1238.098274	speech	1241.630007
1247.343105	speech	1251.783741
1258.317984	speech	1264.342706
1270.096637	speech	1274.329523
1280.481669	speech	1284.506806
1289.103254	speech	1292.686924
1297.006402	speech	1300.564104
1306.173328	speech	1310.951555
1323.375751	speech	1328.283822
1332.902566	speech	1336.823828
1341.472213	speech	1347.473472
1352.121857	speech	1356.770241
1361.876210	speech	1367.251716
1370.653606	speech	1373.266587
1377.837065	speech	1382.563355
1387.990799	speech	1392.015936
1398.058028	speech	1403.693221
1409.172601	speech	1413.171770
1417.466532	speech	1420.167270
1435.089380	speech	1439.659858
1447.564260	speech	1452.498299
1456.211813	speech	1458.237366
1464.765430	speech	1469.621564
1473.934863	speech	1477.985968
1484.867655	speech	1489.449325
1494.850800	speech	1498.382533
1502.901075	speech	1505.627781
1510.509883	speech	1514.896162
1520.193762	speech	1523.673558
1531.435759	speech	1535.980269
1540.550747	speech	1543.459234
1551.180501	speech	1555.283544
1559.983866	speech	1562.928260
1567.005334	speech	1570.329319
1574.198644	speech	1578.076655
